Sentiment,SentimentText
1,  Good Nite.  I hope Grandma visits my dreams again tonight.  Last Night was uplifting...  I miss her.
0,  I want Miley to tour Australia
0,  I'm finding the intercept slope..and banging my head against the wall..Math brain heads come save me
1,          my life is very lazzzzyyyy!!!!!!!            ***********
0,"  i would be so much happier if the walls of my bedroom were painted white,"
1, Found a way to make this Private woot woot
1, bored........doing nothing at all....okay...i'm a pretty shy girl...
0,- @libraritarian59 Oh no! @donutspy isn't a good link! 
1, =&gt; How not to exit a Cessna 206 #skydiving http://bit.ly/16ZZJ7
0,"  - Poor lil mousey, just out enjoying the sunny day. I don't think I'd feel so bad if it was a big gnarly rat though. Dbl standard? Yep."
0,  I am actually crying now because of sore throat.
0, ECL all day to try to cram all of this organic chemistry back into my head. Final tomorrow. ugh
0, everton. oh well. lol.
0,         or i just worry too much?        
0, ;( noooo! why? things are so complicated if I spelt that wrong idc
0, ah the postman didn't have my package. What am I goon to do for the rest of the day.....
0,  My new car was stolen....by my mother who wanted to go pose at church.
0,"   J, you are right... it hurts."
1,   @Lakers!! I love you guyssss! Those rings.. Mmmyeahh! Bling blingg
0,- don't ignore the smell of sizzling skin when you're sitting in the sun! 
0, but eatting popcorn so its getting better
1, @SirKenRobinson Creativity via Twitter http://bit.ly/HVTHS
0,  Things are not good in my head. I may not be around a lot this weekend.
1,"- @SlashHudson you tease, i wanna hear the tracks!! "
1, anoron.reedcourty.operaunite.com/webserver/content/ home.sch alternatÃ­va 
0,  u guys knw whyy
1, @netfart quite the opposite
0,    fed up....
0,  i wanted julian to win!
1,      hmmmm.... i wonder how she my number @-)
0, @dreamingspires. there r many gr8 science cartoons http://bit.ly/6EW4Q http://bit.ly/gXH3q http://bit.ly/18sjXI http://bit.ly/KEAy2
0, B- in genetics so that's a 2.75 towards my GPA. What really sucks is that I got a 79.75% in the class and an 80% is a B.
0,  I wish I could go to T4 On The Beach :'(    Would be great to see @Shontelle_Layne &amp; @DanMerriweather   
0, @Nambu sending my tweets from wrong account although selected the right one.
0, at Chris Brown . . . I honestly dont feel bad for Rihanna ; anyways . . . Out nd such . . .
0," burnt tongue, hot chocolate has a downside"
0,               just practising.....how I feel       
0,      what the hell BBC?
1,- @joaoqalves Think again   Talvez seja do Ãªnfase na cifra. Mas atenÃ§Ã£o: &quot;Security is a chain; it's as strong as the weakest link â€¦
0,"- ... wide awake, but dont actually wanna go to school :S  xxx"
1,   @Standing_Stones  Thank you very much for the DVD suggestion!  Very nice of you!  Looks good.
0,  Just found a bone in my chicken nugget    Not cool
1, @mgph3nom chilling on twitter via my spanking new blackberry w/ unlimited internet : http://tr.im/mZVC
0," finding out the Hollywood Video i frequent, is not re-model-ing, and is in fact, closed  *cancels account* so much 4 super cheap DVDs"
0, ferrets are much cooler than fishes.
0, bummed to be missing bb Kris's comcast chat. Stupid responsibilities.
0,  and they KEEP on coming!   xox
0," after a crap night was looking forward to being cheered up, but no. Never mind."
0,   bad day.....damn you @311. What kind of ticket sale was that.....
0," Airport Express doesn't rock enough to allow wireless scanning with the Canon pixma MX310, but otherwise it's wireless goodness."
1, Famed Michigan bookstore to close its doors http://u.mavrev.com/bc7v
0,  friends dying is just horrible.
0,       Sunny Again        Work Tomorrow  :-|       TV Tonight
1,-- . *sigh* You cant love someone that doesn't love you back that's like stalker status . GET a divorce &amp;&amp; move on . Trinity. 
0,"  Shock loss to Sparks...bummer, @tmmcwilliams had a great game but shock too many injuries to start the season...rematch Monday!"
0, - I want irissa back http://tumblr.com/xpn1wrj48
1, Am feelin very happy!? 
0,  cars being inspected today gonna cost me over 600 dollars 
0, @Mizz_Bliz I slept late too. I wonder y u did...Mhmm. I'm not as hype as u think to leave the country for 2 weeks &amp; 3 days.
0, Finally managed to check the Euromillions results......NO ï¿½89 million for me I'm afraid :[   Oh well...you gotta be in it to win it!
0,             i just want to hear from you. i guess that's asking too much..
0, &quot;Beach Ball Fail&quot; - http://cheezburger.com/tw/?v7-20659 #lol #fail
0, failing at everything i should just give up now....
0, #betseyjohnson why are you doing this to me? This necklace is $150 rather than the usual $50-60 I want it  http://twitpic.com/6ioi8
0, attempting to get other people on twitter(other than cate)  to talk to me but it is failing
0,"  ''Love, save the empty''"
0, &quot;you have to do it all alone&quot;
1,- @carole29 yep  coz of the England game on Wednesday
1,  Just another day in paradise. ;)
0," - my head feels like its going to explode - mmm, what a horrendous image... the mess!"
1, @michaelsarver so do you give him every inch of your love every night?
0,"    NO MORE SICKNESS. strike i say STRIKE! ohhhh well, 'nother day off school i guess"
0, ..sniffles... since I dont get to leave this fucking house...AW GREAT the power's gone. and its getting dark.. Puurfect!
0, @jonasbrothers Why is your YouTube account suspended? lol Single Ladies dance? I NEED TO WATCH IT AGAIN!
0,  i was too slow to get $1 Up tix
0," &quot;well, the truth is I miss you so&quot;- Coldplay"
0,"    on the computer ... . . . . . . *ill*    lol,       no fuckin goin to portugal        "
1,  Summertime by DJ Jazzy Jeff and The Fresh Prince
0, @misterdjin i just saw...
0,  DD has pinkeye...not fun.
0,     &lt;--------- my face because i'm missing zoro tonight.
0, am sad to say i didn't get my results today somehow the school forgot to mail my results to me?? Typical. Ugh
0, . I was want to buy the sims 3 . But it sold out . Wtf . Haha..
1, #poemsunder140 ....started by @shannonelyse1
1, @blackswan2 &quot;to all you&quot; ? http://blip.fm/~7d1qo
0,   fail maths  i knew it i was just too slow 
0, .....why am i so sad??...becuz of u or becuz of the exam??.....i think..becuz of u... 
0,  The iPhone will be out of commission for a while.
0,                     is so sad for my APL friend.............
0,   i don't even know.
1, @canuckgrrrl Seeing a guy dressed up as a banana totally made my day. Phallic symbol FTW http://tr.im/mVTm
0,  no tickets in germany for the miley cyrus tour.. 
1, @Dayngr TweetWrath I think I just coined a new word where is that twitter dictionary http://tr.im/nyYv
1,  My mom is the funniest person ever!  
0, allison didnt win. She should have.
0, 5 gb of video to upload to utube :O dam sony vegas making it so big 
0, :[ I don't want to move!!!
0, - Why must people be so picky. I mean 6 hours work and no dice!? whatï¿½s up with that! http://tumblr.com/xsg1m3ufn
0, @xxkirahxx is fulfilling my life's ambition 2 go 2 a Jonas Brothers concert + I went 2 HMV and the new album is already sold out! Why me?
1,  Being NASTY in the studio with my woman!!!  Go SLEEPIES!!!
1, - she is amazing -- Bjork ï¿½ Bachelorette ? http://blip.fm/~4lfyi
1," @PAN1F @OregonMJW No, I do know the difference! Like I say, it's been a long time. A very long time http://tr.im/nJOo"
0,  jonas day is almost over... 
0, fedex will be kicked out of the french open ...
1," @adbert: &quot;#Video [Woody Woodpecker â€“ The Barber of Seville] I am great, @klitoria, just wishing to be a ch... â™« http://blip.fm/~7g6r0"
0,   storms are scary!
0,"- @littlecharva - if the front wasn't black on both, I would have got the white one. As it is, the black looks sleek &amp; the white doesn't "
0,  I need a U2 fix NOW!
0,     #canucks
0, #3turnoffwords this shit sucks
0,    geez I'm feeling their pain
0,  everythings wrong.
1,   Tiger Woods is up by 2at 18 via http://nascar.com/racebuddy
0, &quot;I want you so bad it's driving me  mad&quot;
0,  e is OUT!
1," &quot;Y must people insist on talking about stupid politics on the comments of a bubblegum pop song. Sorry, get out&quot; http://tinyurl.com/ljgec2"
0," #Susan Boyle didnt win! mh well, diversity was very good though! CONGRATZ!!"
0," - Like I said, my back still fucking hurts and Iâ€™m going to complain about it like no oneâ€™s business.... http://tumblr.com/x6n25amd5"
0, .... Feeling pain and happiness at the same time. How confusing!
1,"   goodbye exams, HELLO ALCOHOL TONIGHT "
0, @lushone toolio has court on the 24th...
1, @danregal  tell @pfont i said Happy BDay!! 
1, @THEDIAMONDCOACH  Im sure he'd love that LOL
0," devstateddd, my silly iphone deleted all my jailbreak stuff  thats 25 apps !"
0, .bueno good bye. good night
1,- @breegeek I'll know if u can't find a replacement 4me. I'll still pay u if not.  I won't let u hang
0," &quot; Vandals paint swastikas on home of author of gay, lesbian church story : Naples Daily News&quot; ( http://bit.ly/11zyzl )"
1," :-D ))))))))...WHAT AN AMAZING NIGHT,DAY &amp; NIGHT AGAIN!! HI TWITS! I MiSS U GUYS"
1,       Juuuuuuuuuuuuuuuuussssst Chillin!!
0,- @billyraycyrus oi tell your daughter to lower her ticket prices we cant afford it in london  my sister cried.
0, almost time to leave.
0,  I wanna be at home @ church...I wonder wht they are doing?
0," downloaded one movie yesterday and having some problem with that ,  i thnk i deserve that..."
1, Can't Wait For Hills Finale Tonight! â™¥
0,                                     I miss her so much already...
1, &quot;The 10 Men a UK Female Internet Entrepreneur Should Know when Starting and Growing a Business : The Next Women&quot; ( http://tinyurl.com ...
0, boro let me down. It's getting very tight.
0, @plmusic22
0, @Leloz isn't home neither is @sozi1 ... @althani96 U BETTER HAVE IT!!!
0, every fucking day
0, - alergic... nose itchy and eyes burning... Hope It's getting better soon....
0, #asylm J2 panel is over. Guess it's back to normal life.
0, found a mosquito bite.  (Those tend to get really swollen and red for me)  Distracting myself with caffeine
0," @Mgapmp When you meet @johncmayer tonight, please tell him my story. How Laker Fans made me miss his show!"
1," @ange_black @sween I call dibs on the Voltron arm. No the leg. Wait. Where are my manners? @baileygenine,.. http://tr.im/oERy"
1,  (: !!!!!! - so i wrote something last week. and i got a call from someone in the new york office... http://tumblr.com/xcn21w6o7
1, @Aimee_B_Loved I think there may be a connection between Paul Reubens and the reason why movie theater fl.. http://tr.im/nfKO
0, - sannesias: Aww no neighbor! We need to watch Mean Girls :] http://tumblr.com/xv31s2pi8
0, at last night 
0,  friends are leaving me 'cause of this stupid love  http://bit.ly/ZoxZC
0, 50% of the new footwear labeling norm is definitions that are never referred to in the document. Who wrote this up?
1,  I'm here to tell ya ... very yummy.  Decided to go on a hunt for blender drinks ... know any good ones?
0,"- @fontenot619 Hey you! @PoisonGirl10 How long will you be on? @summerblonde83 Thx! @Nic0pic0 hehehe yw ;) @sevgli Yeah, they're not! "
0,"- fuck, my money is running out &amp; i have no jobs... "
0,   ...  Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!
1," ahhh. Drizzy. Mr. Rogers, you are indeed the best."
0, - server problems - motivating me to change hosting providers though... #fb
0,  my camera broke !
0, bcd's closed! i guess nodaji it is.
1, @aaronXnow finally got twitter haha
0," every time i leave my room,i miss bubu sending me a msg and then he's gone,same on my side.its been hapnin all day...universe?!!mxit then"
0,      rinitis sucks!!!!!
1,  bathroom is clean..... now on to more enjoyable tasks......
0, -- Farrah Fawcett Dies of Cancer at 62 - ABC News http://bit.ly/akQLD (via @Turner)
1,  he is so hot !
0, emotional.
0, @Mp3Jackson Is Upset With Me Lol
0,   IN an effort to bring you the best content we just added at lease 30 hours to the release of The digital Rapture.  soon... hang tight
1,- certification test #2 at 8:30 this morning. Feeling much better about this one today 
1,-- . BYYEEE . ILY2 Jamarcusssssss 
0," ......... Oh well, at least Suzumiya Haruhi no Yuuutsu is on air."
1, cookies the first time
0,  http://bit.ly/18xobk Five Guys Locations Closed After Visit from &lt;em&gt;Inside Edition&lt;/em&gt;'s 'Rat Patrol' @dcist
0,  I've always seen bits &amp; pieces of Shottas. now I've seen the whole movie...it ends sooooo sad   I'm gonna cry.  
0,    HUGE roll of thunder just now...SO scary!!!!
0, ... ...I don't wanna get rid of twitter  You guys are too cool...
1, Am I feeding the Pig'?
1, #followfriday @n3rin3 @jurgenphoto @shaneaddinall @robi27 @dannyvan @byronrode @tattood1
0,  Hungover........ and craving chocolate! OMG how funny was the pub last night!! LOL
0,   CRY CRY CRY   
0,  idk wat 2 do who can i trust me im sorry 4 all da pain i have caused nebody ima take dis time out 2 straighten myself out i luv yall
1,-  I always get what I want
0,  ughhh..
0,"   No man is worth your tears, and the one that is won't make you cry!"
0,          i want some ben&amp;jerrys cake batter please ugh
0,   awwwww i really hate this.
0,   (must i say more?)
0," - my picture with Kris Karmada is gone forever, its not in my comments, on my mysapce or on my... http://tumblr.com/xzg1wy4jj"
0,   the batt to my internet connection died.  Guess its back to the mobile!
0,      this weekend has sucked so far
1, @alexrauchman I am happy you are staying around here. Drexel is a fabulous university. You should be proud. yeah.
0,   F**kn day...
1,- @hannahradford is taking me to lunch today 
0,' bank account is negative $118... 
0, @lolife4life where r u tonite im still awake!
0, #trackle
0, @tommcfly hi when ur back &amp; when ur next in mk i am gona need 1 of your really good hugs that only you and my friend liam can give ok.
0,- &quot;......you were asleep while i gathered my things in the dark. the burns on my fingers were all that was left of the spark...&quot; - 
0,  never get any photo comments on m space and more
0," Apparently the 'new' 3.0 is the same build as the GM, meaning I'll likely have the same [minute] issues I was having with the GM. #mlia"
1,  To The Death! An awesome random comic for the certifiably not sane. (  )
1, @ taylorrhicks enjoy chicago..b new venue is always cool. You shine everywhere you go. I know who you are. In time so will everyone. 
0, *hugs @ignorantsheep*
1,-- . BABBBBBBBBYY .  I missed you MUCH!!
0," Argh, the speakers on my Macbook are screwing up, and slowly dying."
0, @DemonicTurtle - You guys have fun last night? I hope you got my text... Pub quizzage tomorrow?
1," @weselec My avatar can't figure out what you people are, either. http://tr.im/jj70"
0, ... Why am I feeling worse??? F!!!
0,    ...that is all.
0,  try and enjoy ur family &amp; I am here if I need anything-anything!!!. Love you Sis-be brave &amp; I know u r strong ur in my prayers
1, @jessdelight: LMAO @liveguy
0,"--- *On my way to the doctors with my Duo, my ass hasn't even had breakfast yet  lol"
1,   I have passed 70-542 exam today   
0, A_ just got the same handshake in her meeting. Vibe here sucks
0,  i wanna make my own pizza
1, - that explains alot.
1, awesome black coffee... anyone?
0," @sylvanus is having the worse day ever. Boss is spazzing out at work and finally done with a late night photo shoot, only to have a flat"
0, @TheIanCrawford is no longer in the Cab. To say I'm heartbroken is an understatement... good luck with everything! you're amazing ian.
0,  probably guna get off soon since no one is talkin no more
1,  There's going to be a Heathers sequel.  Winona4ever!  They better not fuck it up.
0,  anyone have any advice on how to cope with a break up?
0,  jus got some bad news
0, Â«Confirmed: Missing Air France Flight 447 has Crashed in the AtlanticÂ»: http://bit.ly/BxdVL
1, A dog riding the bicycle http://bit.ly/gvMzD
1,  just gonna smile...cuz it is what it is..and im not sure what more they could want..
0, expensive car repairs   
1,  Jin has a twitter.
0,       i really2 don't like this condition. sucksssssss
0," for the fact that *I* didn't get any work done, not that you all did. "
0," Everton F.C. just got beat in the Finals of the F.A. Cup against Chealea F.C. Oh well, at least we got to the finals and played well!"
0," failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes."
0, baby girl's so upset.....i'm not where i need to be with my sewing... and it's almost 10pm and i'm finally eating a little dinner..sigh..
0, at work and got loads to do b4 I leave today. Toodles lufflies xxx
0, bad day 2day. Broken glasses  rainy weather  uof
0, - Longest night ever.. ugh! http://tumblr.com/xwp1yxhi6
1,      thanks to all the haters up in my face all day! 112-102
0, @zochula just yelled at me for picking apple store over food.
0,  my parents left
1,"  ... Do I need to even say it?  Do I?  Well, here I go anyways:  CHRIS CORNELL IN CHICAGO!  ... TONIGHT!    "
0,  *enough said*
1,"   yippeeeee yay lets gather in the hay...HIS LOVE FOUND IT'S WAY+ boy,it's Gonna STAY added 2 the Master's HOLY WAY: ALL HIS WILL+WAY"
0, ..had to turn back to North due to body on line. So missing Design Council Design 4 Tech Transfer event   http://bit.ly/pXrzV...
1,  : D a million making a difference. I can't help but to believe. I came in believing &amp; I will leave believing GOD IS!
0, @ELYSIANFIELDZ=CLASS @ELYSIANFIELDZAJ=NO ANSWER @RON_NO4LYFE=WORK @_ETJ= ON THE ROAD @PLUSISAPLUS=N NOLA IM HUNGRY WITH NO1 2 EAT WITH!
0, awesome  http://twitpic.com/6ikhd
1, @EightyThreeKid aww I'm sorry bae u kno I be grindin =D BUT I GOT U I SWEAR....I needa go buy an artbook that or construction paper
0,  no pavel tonight &lt;Tigersfan &gt;
1,  feeling ok for the first time in a few days. thank you!
1,' @ Thestreetforce  '
0,  is it rlly tht serious? I'm abt to go thru my fonebook...
1,  am quite tired can't wait till wwe at burswood &lt;3
0, Don't like ending the night arguing with the huz in SMF over stupid home improvement crap.
0, @I_am_delo
0, .... i think i lost my spanish book!! :-X
0, @ the train crash in DC .....
1," @yhf What happened to movies, anyway? It's like Hollywood forgot: in rough times, the public wants to see.. http://tr.im/mZ8l"
0, Driving Lizzie to the airport. Say good bye Lizzie.
1, bosco graduation then sara's voice recital
1, @stevijean yeahuhh
0, ...I did not get cast in but I will keep looking for some dance opportunities.  I need some exercise.
1, @soultravelers3 http://bit.ly/H9Nqe  15 TravelTips 4 student safety in roughplaces
0, @sf_giants bullpen loses lead
1, @danawalker Washington Capitals would be one of #myweakness as well.
0,"   Friends like these ... no thanks, I'm not fake! ^ ^"
1,  Pie seems to have quite a good appetite now.
1,       Hardest working chica i know( mii boss lady) @MoneyAceweather (look up to her seriously) lOl
0,    &lt;-------- This is the way i feel right now...
0,  -- that's an EPIC sad face.
1," @gigia: &quot;@Mama_K: &quot;Nobody told me Violent Femmes covered Gnarls Barkley! &quot; tks, dude!! &quot; ? http://blip.fm/~6svjq"
0,"- @littlecharva - I'm immune to dentists' drills etc now, it just doesn't bother me at all. Having gum lift surgery next week tho *eek* "
1, @3sixty5days makes me smile.
1,--- 2009 NCAA National Softball Champions UW Huskies 
1,    You're the only one who can see this cause no one else is following me this is for you because you're pretty awesome
0,   ... have to go now ??? 13 more minutes   ... please please please
0, *sends you e-hugs*
1, dinner &lt; bath &lt; workout &lt; run
0,     &gt;( &gt;(  i'm mad and sad right now. Played so terrible today in both soccer and basketball.
1,  Goodbassplayer... that is funny.... ;)  OilIPO.... I hope the people that will bring us good things are started early this week... 
0,  RSL was at the Paley talk?! Now I'm even more depressed I couldn't get a ticket. Oh wells. 
0, could this night be any worse?
1,"- @haugern The servers are now backup, if you experience any more problems then please let me know  Sorry about the delay..."
1,  the weather is lushhh!
1,"  Just got home, and I got to see my friend Zahra whom I haven't seen since We graduated!!!  That makes me so happy."
0,"  This year, 5 million children from hunger-related causes.  http://is.gd/17Eo4"
0,"  I missed the first hour of SYTYCD last night, and I can't find it online!"
1,- been up for 2 days straight. LoL. i NEVER sleep. 
0,                                           exhausted
0," Damn, lost three followers... I was getting so close to fifty.. Help me out?"
0,  I dont want my sister to leave me for the whole summer!
0,- *cries* I'm going to miss Harry Potter when it comes out.  I'm leaving to Vietnam on July 11th.  I'm going to cry!!
0,"  i want a 120gb harddrive, or a 37 inch tv, or a new guitar.  anyonefeeling generous?  =p   x"
0, ::sigh:: we didnt win the contest . stupid popularity contest. i had so many votes for her also.  im realy sad. i had such a good feeling
0,  it is on environmental studies and driving me mental
1,"- @codinghorror See, three external monitors on one laptop, http://www.twitpic.com/6e3zp Win7RC  1 x 1920x1080, 2 x 1280x1024"
1,"   my friends can get with ur friends and we can all b friends, shit, we could do this every weeknd.. Aiigght?  with coop n the crew"
1, @RAPPUBLICIST HAPPY MOTHERS DAY!
0, And how can you mend a broken heart?   â™« http://blip.fm/~8k7kl
1,"  True, highly subjective of me there. Tombre was actually my favorite character in the book. You got me  - http://is.gd/13be0 - Rishabh"
0, feeling down. reality is setting in. i know i should be beyond this point. why am i still here? i want to follow my dreams but im scared
0,  goodnight..
0, come on bitchesss #barakatday #barakatday #barakatday #barakatday
1, AT THE RANDOM MENTION ABOUT CORE 2 &quot;DEALS&quot; THAT ARE ALMOST TWICE AS MUCH SENSE AS IT'S NOT TIED TO HIMSELF ABOUT TV EVERY NIGHT.
0,  Why Twitter will soon become obsolete? http://www.imediaconnection.com/content/23465.asp
1,  trae is so sweet! He just bought me a new baithing suit!! Wove him 
0, all my friends are gone haley n katie @ camp Paris @ moms Landin n Ayonna @ aunts n moms im so bored
0, @ last.fm not working.
1,  go give ur mom a hug right now. http://bit.ly/azFwv
0, dissapointed.
1,-- DT tonight; DT tomorrow day &amp; night   beauty.
0,   Goodnight   
0,"   let's have a moment of silence for our childhood homes... sadly, it can't be replaced and we can never go back"
0,  @Spiral_galaxy @YMPtweet  it really makes me sad when i look at Muslims reality now
0,    i couldnt even have one fairytale night
1," @DirtyRose17  told you, you would sweep haha :-p"
1, fucking rur mom
0, couldn't find it
0, @ jonas brothers youtube bein suspended
0,   i want to find a way to put my photos on phone here i have Bluetooth in both phone and computer but it doesn't work
0,  I'm out of Nutella  
1,-- . well then you gon have to stop w. that . &quot;IDC&quot; shit. JUST be faithful like *points to em* MOI! 
1,    TODAY WAS A GREAT DAY!!!
0,     &lt;- but mustache man is not that desperate
0, @the_prodigy AND @NKOTB in Boston 2day Boo!! Roll on summer already!!! x
0, (tears) :'-( Today is the last day with my kids...They go on summer break at their Dads tomorrow. *sighs* http://plurk.com/p/x8j86
0,  Why aren't there any trains going to manchester on a sunday?!!  Now I can't go to the @jonasbrothers concert.
0, bleh... I feel like QQing now. 
0,  baddest day eveer. 
0,    Nobody likes Year One in the reviews I've read. I'm disappointed. But maybe now I'll like it more since I'm not expecting much..
0, everyones drunk but me
0, &quot;experts (homers) predict Eagles to go 12-4 and Giants to go 9-7/ BS! http://www.dailysportspages.com/forums/showthread.php?t=49343
0, all day.. no play.
0, 1 of me cats kittens died only 3 days old too..RIP ming.
0, besides that great graduation day. I finaly made it I'm a highschool graduate ! Moms word .. Chapter close .. Keep pushing foward.
0,   Just... 
0,    I just cut my beard off. It's only been growing for well over a year. I'm gonna start it over. @shaunamanu is happy in the meantime.
0, Can't log into my computer at work.  ack!  Got lots to do. IT guru out today. can anyone help me?
1, BOREDDDD  going to do powerpoint
0, cant get up to auckland to watch jb 3d movie. im soo gutterd. suppose i have to wait till the dvd release..
1, A blessed sunday everyone!
0,  ok we'll talk about your boyfriends and stuff tomorrow ;) lmao and we'll talk for real soon too!! wooo hehe ilysfm doodle xxxx
0, bed time......................................................
1,   uploading pictures on friendster 
1, @ progressing in the production department with &quot;The Uprizing&quot; thats the priority getting the head nodding beats and then we reach out
0,      My current headset is on its deathbed now!  My dad gave it to me just 3 weeks back!    
1, Coming up to the home stretch now with this J/M fic. YAY!!
0, *tear*
1, @dustincary yea I really wanna see a win for him at daytona
0, didn't think Netball was on coz it was raining when I got there ... Now no one can take me  Manee is going to b annoyed :|
1,-- *hummin* I SAY &quot;shut up &amp; put your money where your mouth is&quot; ...headin' out to reality. Cheers Twitter world! 
0,"        wish ella was on or somebody,,,,"
0, Awww derek is at work back to making kandie with the little ones  :o
0, #IMISSCATH #IMISSCATH #IMISSCATH #IMISSCATH #IMISSCATH #IMISSCATH #IMISSCATH #IMISSCATH #IMISSCATH #IMISSCATH #IMISSCATH #IMISSCATH
0, @beckobviously i have no car to come to you either.
1,    Feeling strangely fine. Now I'm gonna go listen to some Semisonic to celebrate
1,  wide awake   NOT!!!
0,   no shopping   
0,   bed time now....
1, &quot;Nintendo DSi Portable Game System - What Will You and i Do?&quot; ( http://tinyurl.com/b3yobq )
0," @Tellman says, &quot;Crush the Commies&quot; = sad. My grandfather, RIP, was a Commie @Tellman"
1,' @crewislife  you want to start the morning later; in New York we can do that  (Californians have it even better)
0,"  told not to drink w/my Rx so just gave all the b.b. porter &amp; obs. stout that I brought home from OR to my neighbors.  v, v, sad."
1, Bas one last time 2 update my status 
1, baby sitting today.. shopping tomorrow.. Rue 21 Is the best Ever.. 
1," @adamisacson My first day off in 3 weeks, and my child got up before 7:00. So watch for me on &quot;Nancy Grac.. http://tr.im/khKW"
0,    i miss my summertime daley.
0, @HitzProductions unfortunately I'm coming from NJ the boonies...I gotta drive to the path
1,-- . You aint gotta apologize. I know I'm not ugly. 
0, ...?                   ..frustrated?
0, ...the ground around me is wet... i looked up to see if any drops fall on my face...it was drizzle all around but I am missing my drops
0, 1 dinger in and I so regret popping that pill...
1,  hmm what to do!
0," 2nd item did not arrive, am still waiting for it to show in my aramex web page."
1,  @ginaaa &lt;3 GO TO THE SHOW TONIGHT
0, down to 3k in chips.
1,"-- . Aiqht Goodniqht . Tri, Neena, Malcolm, Chaise , JLew, ATL &lt;333 Love Much . "
0, depressing day ? http://blip.fm/~6tfp6
0," : Let's have fun,. When I give ya what I give ya."
0,"    awhhe man.... I'm completely useless rt now. Funny, all I can do is twitter. http://myloc.me/27HX"
1,  Good morning all! Have a great day!!!
0,"  and the entertainment is over, someone complained properly..   @rupturerapture experimental you say? he should experiment with a melody"
0," @tweetdeck lost my groups, and thats not a good thing with 23k followers "
0, feelin very pessimistic ):
1,  having a luvly day http://tinyurl.com/ckbmkc
0, @richietachie i missed all..imma call u tomorrow..and reduce the number of Qs by tomorrow pls...i have a phobia for that lol seriously
1,- always a nice thing to wake up to. yay. :p (gosh I'm such a typical lame overanalyzing teenager) lmao  / had a nice nap.
0,  (unsure)  (hassle)  (:  (music) http://plurk.com/p/yq08l
0, .... Dream beautiful.
1, @essentially_me Funny fact: @sween has about 3x his town's population following him on tumblr. How does h.. http://tr.im/lCEl
1," @masareus&quot; @dhempe congrats bhai, but like the oldies in &gt; used to say - arre bhai kuch kam ka http://tr.im/ox5G"
